	http://blog.outer-court.com/rss.xml	http://feeds.abcnews.com/abcnews/blotterheadlines	http://feeds.feedburner.com/37signals/beMH	http://feeds.feedburner.com/GoogleOperatingSystem	http://feeds.feedburner.com/JohnBattellesSearchblog	http://feeds.feedburner.com/Mashable	http://feeds.feedburner.com/andrewsullivan/rApM	http://feeds.feedburner.com/blogspot/bRuz	http://feeds.feedburner.com/paulstamatiou	http://feeds.feedburner.com/pjmedia/instapundit	http://feeds.feedburner.com/powerlineblog/livefeed	http://gizmodo.com/index.xml	http://gofugyourself.typepad.com/go_fug_yourself/index.rdf	http://googleblog.blogspot.com/rss.xml	http://headrush.typepad.com/creating_passionate_users/index.rdf	http://joi.ito.com/index.rdf	http://michellemalkin.com/feed/	http://moblogsmoproblems.blogspot.com/rss.xml	http://newsbusters.org/node/feed	http://radar.oreilly.com/index.rdf	http://rss.slashdot.org/Slashdot/slashdot	http://scienceblogs.com/pharyngula/feed/	http://scobleizer.wordpress.com/feed/	http://sethgodin.typepad.com/seths_blog/index.rdf	http://thinkprogress.org/feed/	http://www.topix.com//rss/news/blogs	https://blog.zawodny.com/feed/	https://gigaom.com/feed/	https://guykawasaki.com/feed/	https://searchenginewatch.com/tag/rss-feed/feed/
focus	0	0	3.0	0	0	1.0	0	0	3.0	0	0	0	0	2.0	1.0	0	0	2.0	6.0	0	0	0	0	1.0	2.0	0	0	0	0	0
focused	0	0	0	0	0	1.0	0	0	5.0	0	0	0	0	2.0	0	0	0	4.0	8.0	0	0	0	0	0	1.0	0	0	0	0	0
follow	0	0	6.0	0	0	0	1.0	0	5.0	0	0	0	0	10.0	0	0	0	17.0	5.0	0	0	0	0	1.0	0	0	0	0	0	1.0
following	0	0	0	0	0	1.0	2.0	0	3.0	0	0	0	0	3.0	0	0	0	23.0	9.0	0	0	0	0	0	3.0	0	0	0	0	0
forward	0	0	3.0	1.0	0	0	1.0	0	9.0	0	0	0	0	4.0	0	0	0	2.0	4.0	0	0	0	0	0	1.0	0	0	0	0	0
found	0	0	7.0	3.0	3.0	1.0	1.0	0	21.0	0	0	0	0	3.0	0	1.0	0	12.0	13.0	1.0	1.0	0	0	0	4.0	1.0	0	0	0	1.0
four	0	0	3.0	0	0	0	0	0	4.0	1.0	1.0	0	0	5.0	0	0	0	5.0	8.0	1.0	0	1.0	0	0	4.0	0	0	0	1.0	0
free	2.0	0	6.0	1.0	0	2.0	0	0	7.0	1.0	0	0	0	3.0	0	0	0	5.0	29.0	1.0	6.0	0	0	0	2.0	0	0	0	0	0
friends	1.0	0	3.0	0	0	2.0	1.0	3.0	8.0	0	1.0	0	0	5.0	0	0	0	11.0	8.0	0	0	0	2.0	0	0	0	0	0	1.0	0
full	2.0	0	5.0	2.0	0	1.0	0	0	12.0	0	0	0	10.0	2.0	0	0	0	3.0	13.0	0	0	0	0	0	0	0	1.0	0	0	0
fun	1.0	0	2.0	0	0	1.0	0	0	6.0	0	1.0	0	0	5.0	0	0	0	2.0	6.0	0	0	0	0	0	0	0	0	0	0	0
further	0	0	4.0	0	0	0	0	0	4.0	1.0	0	0	0	1.0	0	0	0	1.0	8.0	0	3.0	0	0	0	0	0	0	0	0	0
future	1.0	0	2.0	0	0	6.0	0	1.0	11.0	1.0	0	0	0	9.0	0	0	0	1.0	5.0	1.0	1.0	0	3.0	0	1.0	0	0	0	0	0
game	1.0	0	0	2.0	0	9.0	0	3.0	5.0	0	0	0	0	3.0	0	0	0	1.0	8.0	0	0	0	0	0	1.0	0	0	0	0	1.0
gave	1.0	0	4.0	0	0	1.0	1.0	0	3.0	1.0	0	0	0	7.0	0	0	0	0	8.0	0	1.0	0	0	0	0	0	0	0	0	0
general	1.0	0	3.0	0	0	1.0	0	0	4.0	0	0	0	0	1.0	0	0	0	2.0	12.0	0	1.0	0	0	0	0	0	0	0	0	0
generation	0	0	0	0	0	0	1.0	0	3.0	3.0	0	0	0	3.0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0
get	4.0	0	33.0	15.0	2.0	8.0	2.0	7.0	127.0	1.0	1.0	0	0	18.0	0	0	0	22.0	50.0	0	3.0	0	1.0	1.0	10.0	0	0	0	0	1.0
getting	0	1.0	10.0	0	0	3.0	0	1.0	30.0	3.0	0	0	0	3.0	0	0	0	6.0	11.0	0	1.0	0	0	1.0	1.0	0	1.0	0	0	0
give	0	0	5.0	0	2.0	1.0	0	0	12.0	0	0	0	0	4.0	1.0	0	0	10.0	11.0	0	2.0	0	0	1.0	3.0	0	0	0	0	0
given	0	0	2.0	0	1.0	1.0	0	0	3.0	0	0	0	0	2.0	0	0	0	2.0	6.0	0	1.0	0	1.0	0	2.0	0	0	0	0	0
goes	1.0	0	3.0	0	1.0	1.0	0	0	7.0	0	0	0	0	1.0	0	0	0	3.0	9.0	0	0	0	1.0	1.0	0	1.0	0	0	0	0
going	2.0	0	18.0	1.0	1.0	5.0	2.0	1.0	39.0	3.0	0	0	0	1.0	2.0	0	0	11.0	76.0	0	4.0	0	3.0	0	5.0	0	1.0	0	0	0
good	0	0	7.0	0	0	0	0	1.0	31.0	1.0	0	0	0	1.0	1.0	0	0	16.0	25.0	0	0	1.0	1.0	2.0	0	1.0	0	0	1.0	0
google	23.0	0	1.0	93.0	2.0	4.0	0	0	75.0	0	0	0	0	93.0	0	0	0	0	1.0	0	0	0	10.0	0	0	1.0	0	1.0	0	8.0
got	0	0	21.0	0	0	1.0	0	5.0	26.0	0	0	0	0	2.0	0	1.0	0	9.0	26.0	0	0	0	2.0	0	1.0	0	2.0	0	0	0
government	0	1.0	0	0	0	1.0	0	4.0	0	0	0	0	0	1.0	0	0	0	0	35.0	0	3.0	0	0	0	7.0	1.0	0	0	0	0
great	0	0	7.0	1.0	0	1.0	0	1.0	25.0	0	0	0	1.0	5.0	1.0	2.0	1.0	13.0	7.0	0	2.0	0	1.0	1.0	1.0	1.0	0	1.0	0	0
ground	0	0	2.0	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	2.0	0	0	0	0	0
group	7.0	1.0	2.0	0	0	1.0	0	0	9.0	0	0	0	0	4.0	0	1.0	0	5.0	8.0	0	4.0	0	0	0	4.0	0	0	0	0	0
grow	0	0	2.0	0	0	1.0	0	0	3.0	0	0	0	0	1.0	0	0	0	2.0	4.0	0	0	0	0	0	0	0	0	0	0	0
guess	0	0	0	0	0	0	0	3.0	2.0	0	0	0	0	0	0	0	0	2.0	7.0	0	0	0	0	1.0	0	0	0	0	0	0
guy	0	0	2.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	14.0	0	0	0	2.0	0	0	0	0	0	11.0	0
hand	1.0	0	5.0	0	0	1.0	0	1.0	8.0	0	0	0	0	1.0	0	0	0	1.0	3.0	0	0	0	0	0	0	0	2.0	0	0	0
happen	0	0	3.0	1.0	0	1.0	0	1.0	2.0	0	0	0	0	1.0	0	0	0	3.0	5.0	0	0	0	0	0	2.0	1.0	0	0	0	0
happened	0	0	4.0	0	0	1.0	0	0	3.0	0	0	0	0	0	0	0	0	4.0	7.0	0	0	0	0	0	0	0	1.0	0	0	0
happening	0	0	0	0	0	0	0	0	5.0	0	0	0	0	2.0	0	0	0	3.0	5.0	0	0	0	1.0	0	0	0	0	0	0	0
happens	2.0	0	4.0	0	0	1.0	0	1.0	6.0	0	0	0	0	0	0	0	0	2.0	4.0	0	0	0	0	0	0	0	0	0	0	0
hard	0	0	7.0	0	1.0	1.0	1.0	1.0	18.0	0	1.0	0	0	2.0	0	0	0	1.0	7.0	0	2.0	1.0	0	0	1.0	0	0	0	0	0
haven	0	0	2.0	1.0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	3.0	6.0	0	0	0	0	0	0	0	0	0	1.0	0
having	0	0	6.0	0	0	1.0	0	2.0	29.0	1.0	0	0	0	2.0	0	0	0	3.0	13.0	0	3.0	0	0	0	2.0	0	0	0	0	0
health	0	0	0	0	0	0	0	2.0	0	2.0	0	0	0	2.0	0	0	0	0	48.0	0	1.0	0	0	0	10.0	1.0	0	0	0	0
hear	1.0	0	6.0	0	0	0	0	0	1.0	0	0	0	0	2.0	0	0	0	3.0	6.0	0	0	0	0	0	1.0	0	0	0	0	0
heard	0	0	3.0	0	0	0	0	0	7.0	1.0	0	0	0	1.0	0	0	0	1.0	5.0	0	0	0	0	0	1.0	2.0	0	0	1.0	0
heart	0	0	1.0	1.0	0	1.0	1.0	0	2.0	0	0	0	0	2.0	0	0	0	3.0	2.0	0	0	0	0	0	1.0	0	0	0	0	0
help	0	0	12.0	1.0	0	4.0	0	0	15.0	0	1.0	0	0	30.0	0	0	0	11.0	12.0	0	2.0	0	0	0	0	1.0	0	0	2.0	0
helped	0	0	0	0	0	0	0	0	4.0	0	0	0	0	4.0	0	0	0	2.0	2.0	0	0	0	1.0	0	0	0	0	0	0	0
her	0	0	9.0	0	0	12.0	1.0	2.0	3.0	0	0	0	3.0	30.0	0	3.0	0	5.0	74.0	0	8.0	0	0	0	8.0	3.0	0	0	0	0
here	2.0	0	22.0	7.0	2.0	7.0	2.0	6.0	38.0	2.0	1.0	0	1.0	7.0	1.0	0	0	26.0	69.0	0	0	1.0	10.0	0	1.0	0	0	0	1.0	5.0
high	0	0	2.0	4.0	0	4.0	1.0	1.0	13.0	1.0	0	0	0	9.0	0	0	0	1.0	10.0	1.0	0	0	0	0	2.0	0	0	0	0	0
him	0	0	15.0	0	0	4.0	0	0	3.0	0	0	0	0	5.0	0	1.0	0	3.0	65.0	0	0	0	0	1.0	7.0	1.0	0	0	3.0	0
himself	0	0	0	0	0	3.0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	9.0	0	1.0	0	0	0	2.0	0	0	0	0	0
hit	0	0	3.0	0	0	0	0	0	9.0	0	0	0	0	1.0	0	0	0	2.0	18.0	0	0	0	0	0	0	0	0	0	0	0
hold	0	0	2.0	0	0	0	0	0	8.0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0	0	2.0	0	0	0	0	0
home	1.0	1.0	3.0	5.0	0	1.0	1.0	0	19.0	0	0	0	0	6.0	0	1.0	0	1.0	4.0	0	1.0	0	0	0	6.0	1.0	1.0	1.0	0	0
hope	0	0	2.0	1.0	0	1.0	4.0	0	1.0	0	1.0	0	0	7.0	0	0	0	2.0	7.0	0	0	0	0	1.0	1.0	0	0	0	0	0
hour	0	0	0	0	0	0	0	0	5.0	0	0	0	0	2.0	0	1.0	0	4.0	11.0	0	3.0	0	0	0	0	0	2.0	0	0	0
house	0	0	0	0	0	0	2.0	3.0	11.0	4.0	0	0	0	0	0	0	0	0	65.0	0	0	0	0	0	16.0	0	0	0	0	0
http	0	0	0	0	0	2.0	0	0	6.0	0	0	0	0	0	0	0	0	24.0	2.0	0	0	0	3.0	0	0	1.0	0	0	0	0
https	0	0	2.0	0	0	8.0	0	2.0	5.0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	2.0	0	6.0	0	0	0	0	0
human	0	0	1.0	0	0	2.0	0	2.0	0	0	0	0	0	2.0	0	0	0	1.0	4.0	0	1.0	0	0	0	1.0	1.0	0	0	0	0
idea	1.0	0	6.0	0	0	0	3.0	3.0	8.0	0	0	0	0	4.0	1.0	1.0	0	14.0	10.0	0	2.0	0	0	0	2.0	0	0	0	0	0
ideas	0	0	2.0	0	0	1.0	1.0	1.0	6.0	0	0	0	0	4.0	0	0	0	6.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0
immediately	0	0	0	0	0	1.0	0	0	7.0	0	0	0	0	2.0	0	0	0	1.0	2.0	0	1.0	0	0	0	3.0	0	0	0	0	0
impact	0	0	2.0	0	0	0	0	0	2.0	2.0	0	0	0	11.0	0	0	0	0	8.0	0	0	0	0	0	1.0	0	0	0	0	0
important	0	0	10.0	2.0	1.0	2.0	0	1.0	7.0	2.0	0	0	0	13.0	1.0	0	0	4.0	59.0	0	0	0	0	0	7.0	0	0	0	1.0	0
include	0	0	0	1.0	0	0	0	0	5.0	0	1.0	0	0	3.0	0	0	0	3.0	12.0	0	1.0	0	0	0	2.0	0	0	0	0	0
including	0	0	0	4.0	0	0	1.0	1.0	10.0	0	0	0	0	8.0	0	0	0	1.0	10.0	0	6.0	0	0	0	5.0	0	0	0	0	0
increase	0	0	0	0	0	0	0	0	3.0	0	0	0	0	1.0	0	0	0	0	10.0	0	2.0	0	0	0	2.0	0	0	0	0	0
individual	1.0	0	1.0	0	0	0	0	1.0	2.0	0	0	0	0	2.0	0	0	0	2.0	4.0	0	0	0	0	0	1.0	0	0	0	0	0
industry	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	3.0	0	0	0	6.0	4.0	0	0	0	0	0	0	0	0	0	0	0
information	0	0	2.0	1.0	0	0	0	0	2.0	0	0	0	0	11.0	0	0	0	6.0	9.0	0	2.0	0	0	0	1.0	0	0	0	0	0
innovation	0	0	0	0	0	0	0	0	2.0	3.0	0	0	0	3.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0
instead	0	0	4.0	0	0	2.0	0	0	25.0	0	0	0	0	1.0	0	0	0	5.0	21.0	0	0	0	0	0	5.0	0	1.0	0	0	0
intelligence	0	0	0	0	0	3.0	0	0	0	0	0	0	0	1.0	0	2.0	0	0	26.0	1.0	2.0	0	0	0	0	0	0	1.0	0	0
interest	1.0	0	4.0	0	0	1.0	0	0	2.0	0	0	0	0	7.0	0	0	0	2.0	4.0	0	0	0	0	0	0	0	0	0	1.0	0
interested	1.0	0	2.0	0	0	0	0	1.0	3.0	1.0	0	0	0	2.0	0	1.0	0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0
interesting	0	0	5.0	3.0	0	0	0	0	9.0	0	0	0	0	3.0	0	0	0	4.0	3.0	1.0	0	1.0	2.0	0	0	1.0	0	0	0	0
internet	0	0	1.0	1.0	4.0	1.0	1.0	2.0	5.0	0	0	0	0	3.0	0	1.0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0
into	3.0	0	17.0	2.0	0	7.0	1.0	3.0	65.0	3.0	0	0	0	24.0	0	0	0	10.0	37.0	1.0	4.0	0	2.0	0	5.0	1.0	0	0	1.0	0
introduced	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	6.0	0	0	0	0	3.0	0	0	0	0	0	4.0	0	0	0	0	0
ios	0	0	12.0	3.0	0	2.0	0	0	30.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isn	1.0	0	13.0	0	0	0	1.0	8.0	3.0	2.0	0	0	0	3.0	0	0	0	7.0	14.0	0	0	0	0	0	0	1.0	0	0	0	5.0
issues	0	0	1.0	0	0	1.0	0	1.0	18.0	1.0	0	0	0	0	1.0	0	0	2.0	13.0	0	0	0	0	0	2.0	0	0	0	0	0
items	0	0	3.0	0	0	0	0	0	6.0	0	0	0	0	2.0	0	0	0	0	50.0	0	2.0	0	0	0	0	0	0	0	1.0	0
its	1.0	0	8.0	3.0	1.0	2.0	0	2.0	13.0	2.0	0	0	0	12.0	1.0	0	0	12.0	39.0	0	10.0	0	4.0	0	5.0	1.0	0	0	0	1.0
itself	0	0	2.0	0	0	0	1.0	0	8.0	1.0	0	0	0	0	0	0	0	7.0	3.0	0	0	0	0	0	0	0	0	0	0	0
job	0	0	4.0	0	0	3.0	1.0	3.0	7.0	1.0	0	0	0	0	0	0	0	1.0	22.0	0	2.0	0	0	0	0	0	0	0	1.0	0
jobs	0	0	3.0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	13.0	0	0	0	0	0	2.0	0	0	0	0	0
john	0	0	0	0	20.0	3.0	1.0	0	0	2.0	4.0	0	0	1.0	0	1.0	0	1.0	10.0	0	1.0	0	0	0	11.0	1.0	0	0	0	0
join	2.0	0	0	1.0	0	1.0	0	0	0	0	1.0	0	0	3.0	0	3.0	0	14.0	2.0	0	0	0	2.0	0	0	0	0	0	0	0
july	0	0	0	0	0	7.0	0	4.0	1.0	1.0	0	0	0	9.0	0	0	0	1.0	15.0	0	1.0	0	0	0	10.0	0	0	0	0	0
june	0	0	0	1.0	0	2.0	0	1.0	1.0	0	0	0	0	0	0	0	0	2.0	36.0	0	2.0	0	0	0	3.0	2.0	0	0	0	0
keep	0	0	9.0	1.0	0	1.0	1.0	0	21.0	0	0	0	0	1.0	0	0	0	3.0	13.0	0	0	0	0	0	2.0	0	0	0	0	0
key	0	0	1.0	0	0	1.0	1.0	0	6.0	0	0	0	0	7.0	2.0	0	0	5.0	5.0	0	3.0	0	0	0	2.0	0	0	0	0	0
kind	0	0	4.0	0	2.0	0	0	0	5.0	0	0	0	0	0	1.0	0	0	0	35.0	0	0	0	1.0	0	0	1.0	0	0	0	0
knew	0	0	5.0	0	0	1.0	1.0	0	2.0	0	0	0	0	2.0	0	0	0	3.0	1.0	0	0	1.0	0	0	0	0	0	0	1.0	0
know	2.0	0	16.0	4.0	1.0	9.0	5.0	3.0	27.0	0	0	0	0	5.0	0	1.0	0	18.0	51.0	0	1.0	0	1.0	2.0	0	0	0	1.0	0	0
knows	2.0	0	3.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	2.0	4.0	0	0	0	0	0	0	0	0	0	0	0
land	0	0	0	2.0	0	0	0	0	2.0	0	0	0	0	3.0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	1.0	0
language	0	1.0	1.0	3.0	0	4.0	1.0	0	1.0	0	0	0	0	5.0	0	0	0	0	13.0	1.0	0	0	0	0	0	0	0	0	0	0
large	0	0	1.0	0	1.0	0	0	0	8.0	0	1.0	0	0	1.0	0	0	0	3.0	3.0	0	4.0	0	0	0	0	0	0	0	0	0
last	0	0	9.0	1.0	0	8.0	3.0	0	41.0	1.0	1.0	0	0	9.0	1.0	2.0	0	14.0	28.0	0	8.0	0	2.0	1.0	4.0	0	4.0	0	0	0
later	2.0	0	3.0	1.0	0	1.0	0	1.0	18.0	0	0	0	0	4.0	0	0	0	4.0	18.0	0	4.0	0	0	0	4.0	0	0	0	0	0
latest	0	0	1.0	2.0	0	0	1.0	0	4.0	0	0	0	0	4.0	0	0	0	1.0	12.0	0	2.0	0	2.0	0	3.0	0	0	0	0	0
launched	1.0	0	0	2.0	0	0	0	0	6.0	0	0	0	0	3.0	0	0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	0	0
lead	0	0	1.0	0	2.0	1.0	0	0	2.0	0	0	0	0	1.0	0	0	0	2.0	4.0	0	0	0	0	0	0	0	0	0	0	0
leaders	0	0	1.0	0	0	0	0	2.0	0	0	0	0	0	3.0	0	0	0	1.0	18.0	0	0	0	0	1.0	4.0	0	0	0	0	0
learn	0	0	6.0	0	0	0	0	0	11.0	0	0	0	0	25.0	1.0	0	0	7.0	0	0	0	0	0	0	0	0	0	0	0	0
learned	0	0	3.0	0	1.0	0	0	0	7.0	0	0	0	0	1.0	0	0	0	5.0	2.0	0	0	0	0	0	0	0	0	0	0	0
learning	0	0	2.0	2.0	0	2.0	0	0	3.0	0	0	0	0	8.0	1.0	1.0	0	2.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0
least	0	0	3.0	0	0	2.0	2.0	1.0	9.0	0	0	0	0	0	1.0	0	0	6.0	16.0	0	0	0	1.0	0	2.0	0	0	0	0	0
leave	1.0	0	0	0	0	0	1.0	0	4.0	0	0	0	0	2.0	1.0	0	0	4.0	3.0	0	0	0	0	0	4.0	0	0	0	1.0	0
leaving	0	0	0	0	0	0	2.0	0	1.0	0	0	0	1.0	1.0	0	0	0	3.0	4.0	0	0	0	2.0	0	1.0	0	0	0	0	0
left	1.0	0	3.0	2.0	0	4.0	0	0	8.0	2.0	0	0	0	7.0	0	0	0	9.0	39.0	0	0	0	0	0	7.0	1.0	2.0	0	1.0	0
less	1.0	0	3.0	0	0	0	1.0	1.0	14.0	0	0	0	0	5.0	1.0	0	0	5.0	17.0	0	1.0	0	0	0	1.0	0	1.0	0	0	0
let	2.0	1.0	3.0	1.0	2.0	7.0	0	1.0	26.0	0	0	0	0	7.0	0	0	0	10.0	25.0	0	0	0	0	1.0	0	0	2.0	0	0	1.0
level	0	0	0	1.0	0	1.0	0	2.0	9.0	0	0	0	0	2.0	0	0	0	5.0	4.0	0	0	0	0	0	1.0	1.0	0	0	0	0
life	0	0	6.0	2.0	0	4.0	1.0	1.0	19.0	0	0	0	0	8.0	0	0	0	2.0	42.0	0	0	0	0	0	1.0	1.0	0	0	0	0
light	0	1.0	3.0	2.0	0	0	0	0	7.0	0	0	0	0	3.0	0	0	0	0	5.0	1.0	0	0	0	0	0	1.0	0	0	0	0
likely	1.0	0	1.0	0	0	1.0	2.0	1.0	7.0	0	0	0	0	1.0	0	0	0	7.0	5.0	0	1.0	0	0	0	1.0	0	0	0	0	0
limit	2.0	0	0	2.0	1.0	0	0	0	7.0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0
line	0	1.0	0	1.0	0	2.0	0	1.0	27.0	0	0	0	0	0	0	0	0	2.0	9.0	0	2.0	0	3.0	0	2.0	0	1.0	0	0	0
link	1.0	0	0	2.0	0	0	0	0	7.0	0	0	0	0	0	0	0	0	20.0	0	0	0	1.0	0	0	0	2.0	0	0	0	0
list	1.0	0	0	7.0	0	2.0	0	0	14.0	0	0	0	0	4.0	0	0	0	12.0	7.0	0	2.0	0	0	1.0	0	1.0	0	0	2.0	1.0
listed	0	0	0	2.0	0	1.0	0	0	4.0	0	0	0	0	2.0	0	0	0	1.0	6.0	0	0	0	0	0	0	0	0	0	0	0
little	0	0	8.0	1.0	0	4.0	2.0	1.0	6.0	0	0	0	0	5.0	0	0	0	3.0	16.0	0	0	0	0	0	3.0	0	0	0	0	0
live	1.0	0	0	2.0	0	2.0	1.0	3.0	9.0	2.0	1.0	0	0	1.0	0	4.0	0	3.0	30.0	0	0	0	0	0	1.0	0	0	0	0	0
lives	0	0	3.0	0	0	1.0	0	0	5.0	1.0	0	0	0	3.0	0	0	0	0	11.0	0	0	0	0	0	1.0	0	0	0	0	0
living	1.0	0	1.0	2.0	0	0	0	0	6.0	0	0	0	0	6.0	0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0	0
local	0	0	1.0	2.0	0	2.0	0	4.0	7.0	0	0	0	0	12.0	0	0	0	0	2.0	0	2.0	0	0	1.0	0	0	0	0	0	0
long	1.0	0	4.0	5.0	0	1.0	5.0	0	19.0	1.0	0	0	0	4.0	0	0	0	8.0	12.0	0	4.0	0	0	0	2.0	0	1.0	0	0	0
longer	1.0	0	2.0	4.0	0	0	0	0	13.0	1.0	0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0
look	1.0	0	10.0	3.0	0	4.0	3.0	0	51.0	0	0	0	0	14.0	0	0	0	1.0	38.0	0	2.0	0	1.0	0	1.0	0	1.0	0	0	0
looking	0	0	5.0	0	0	1.0	2.0	1.0	11.0	1.0	0	0	0	4.0	0	0	0	9.0	8.0	0	0	0	2.0	0	2.0	1.0	0	0	0	0
looks	0	0	7.0	3.0	0	2.0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	7.0	0	0	0	0	0	0	0	0	0	1.0	0
lose	0	0	0	0	0	0	0	0	2.0	1.0	0	0	0	0	0	0	0	3.0	3.0	0	0	0	0	0	4.0	0	0	1.0	0	0
lot	0	0	6.0	1.0	1.0	1.0	0	5.0	9.0	2.0	0	0	0	3.0	0	0	0	14.0	20.0	0	2.0	0	0	1.0	0	2.0	0	1.0	0	0
lots	0	0	3.0	0	0	0	0	2.0	14.0	1.0	0	0	0	3.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0
love	2.0	0	2.0	0	1.0	2.0	7.0	1.0	9.0	1.0	0	0	0	2.0	1.0	0	0	4.0	7.0	0	0	0	0	0	0	0	0	0	0	0
low	0	0	1.0	1.0	0	0	1.0	0	9.0	0	0	0	0	0	0	0	0	0	8.0	0	3.0	0	2.0	0	0	0	0	0	0	0
made	2.0	1.0	9.0	0	1.0	2.0	2.0	1.0	20.0	2.0	0	0	0	8.0	0	0	0	7.0	34.0	0	3.0	0	0	1.0	5.0	0	1.0	0	0	0
make	3.0	0	12.0	2.0	1.0	3.0	2.0	6.0	42.0	1.0	0	0	0	18.0	1.0	0	1.0	19.0	37.0	0	0	0	2.0	1.0	2.0	1.0	1.0	0	0	0
makes	1.0	0	2.0	2.0	2.0	3.0	0	0	11.0	1.0	0	0	0	5.0	0	0	0	3.0	12.0	1.0	1.0	0	0	0	0	0	1.0	0	0	0
making	0	0	8.0	0	2.0	0	0	1.0	14.0	2.0	0	0	0	9.0	1.0	0	0	4.0	14.0	1.0	1.0	1.0	0	0	3.0	0	0	0	0	0
management	0	0	2.0	0	0	0	0	0	4.0	0	0	0	0	3.0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	0	0
many	0	0	10.0	4.0	1.0	6.0	3.0	1.0	23.0	0	0	0	0	6.0	0	3.0	0	23.0	45.0	2.0	3.0	0	1.0	0	5.0	0	0	1.0	1.0	2.0
market	1.0	0	11.0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	4.0	0	3.0	0	0	2.0	1.0	0	0	1.0	0	0
matter	1.0	0	2.0	0	0	0	0	0	2.0	0	0	0	0	2.0	0	0	0	2.0	13.0	0	0	0	0	0	0	2.0	0	0	1.0	0
may	1.0	0	6.0	1.0	0	6.0	1.0	2.0	19.0	1.0	0	0	0	4.0	0	0	0	12.0	22.0	0	4.0	0	0	0	4.0	1.0	0	0	1.0	0
maybe	1.0	0	5.0	0	0	0	1.0	0	3.0	0	0	0	0	0	0	0	0	4.0	8.0	0	0	0	0	0	0	0	0	0	0	0
mdash	0	0	0	0	0	0	0	3.0	76.0	0	0	0	0	0	0	0	0	0	56.0	0	0	0	0	0	4.0	0	0	0	0	0
mean	0	0	2.0	0	0	2.0	0	3.0	3.0	0	0	0	0	1.0	0	0	0	8.0	20.0	0	0	0	0	1.0	1.0	0	0	0	0	0
means	0	0	3.0	1.0	0	1.0	0	0	8.0	0	0	0	0	6.0	0	0	0	7.0	11.0	0	1.0	0	0	0	1.0	0	0	0	0	0
meant	0	0	2.0	0	0	2.0	0	0	4.0	0	1.0	0	0	0	0	0	0	3.0	9.0	0	0	0	0	0	1.0	0	0	0	0	0
measures	0	0	0	0	0	0	0	0	2.0	0	0	0	0	2.0	0	0	0	0	3.0	0	3.0	0	0	0	1.0	0	0	0	0	0
media	0	0	3.0	0	7.0	2.0	0	1.0	9.0	4.0	0	0	0	10.0	0	5.0	0	111.0	93.0	0	0	0	2.0	0	17.0	3.0	0	0	1.0	0
medium	0	0	12.0	0	2.0	0	0	0	2.0	0	0	0	0	4.0	0	0	0	0	0	0	0	0	0	0	15.0	0	0	0	0	0
meet	0	0	3.0	1.0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	0	6.0	7.0	0	1.0	0	4.0	0	2.0	3.0	1.0	0	0	0
meeting	0	0	2.0	0	0	0	0	1.0	4.0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	2.0	3.0	0	0	0	0	0
members	1.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	2.0	0	0	0	5.0	7.0	0	0	0	0	0	2.0	0	0	0	0	0
mentioned	0	0	3.0	1.0	0	0	0	0	12.0	1.0	0	0	0	1.0	0	0	0	0	7.0	0	0	0	0	0	3.0	0	1.0	0	0	0
message	0	0	0	5.0	0	0	0	0	4.0	0	0	0	0	1.0	0	0	0	1.0	6.0	0	0	0	0	0	2.0	0	1.0	0	0	0
might	0	0	5.0	0	0	6.0	1.0	1.0	24.0	1.0	0	0	0	1.0	1.0	0	1.0	7.0	11.0	0	0	0	4.0	2.0	0	1.0	0	0	0	0
